,0
0,20.38
1,11.52
2,20.11
3,20.66
4,21.84
5,14.33
6,12.29
7,18.84
8,20.83
9,12.08
10,22.02
11,23.08
12,26.32
13,28.26
14,21.69
15,10.36
16,26.2
17,26.44
18,22.97
19,19.8
20,12.29
21,16.02
22,18.22
23,26.7
24,20.62
25,19.11
26,36.99
27,23.28
28,16.99
29,13.54
30,16.33
31,22.3
32,22.05
33,19.29
34,22.78
35,19.57
36,25.39
37,17.54
38,10.57
39,13.06
40,23.36
41,14.72
42,11.57
43,29.81
44,12.02
45,20.57
46,17.57
47,31.25
48,12.7
49,13.9
50,19.0
51,16.46
52,20.33
53,10.83
54,23.35
55,30.69
56,16.58
57,20.0
58,14.7
59,27.03
60,38.18
61,20.81
62,21.24
63,14.99
64,21.36
65,26.35
66,25.16
67,28.8
68,12.84
69,16.5
70,10.0
71,18.98
72,20.0
73,16.92
74,18.24
75,20.85
76,19.2
77,21.1
78,27.65
79,16.5
80,29.71
81,14.57
82,28.25
83,29.25
84,30.95
85,21.83
86,20.11
87,10.92
88,23.64
89,27.95
90,19.39
91,30.73
92,12.82
93,29.6
94,33.05
95,24.71
96,27.7
97,20.15
98,12.02
99,17.04
100,19.37
101,21.02
102,18.22
103,12.27
104,23.79
105,17.1
106,29.63
107,14.29
108,26.31
109,18.69
110,17.83
111,20.4
112,25.47
113,23.68
114,19.66
115,14.4
116,33.83
117,17.78
118,19.34
119,12.46
120,25.83
121,32.68
122,20.1
123,23.89
124,23.45
125,27.45
126,20.82
127,33.02
128,26.55
129,42.18
130,43.47
131,13.77
132,40.0
133,43.21
134,26.59
135,16.32
136,22.73
137,26.9
138,22.64
139,33.53
140,21.73
141,31.32
142,21.8
143,12.85
144,13.13
145,30.77
146,10.02
147,12.7
148,12.14
149,14.13
150,13.2
151,12.58
152,11.07
153,11.88
154,11.56
155,12.2
156,14.63
157,18.69
158,14.1
159,12.84
160,21.14
161,27.34
162,18.77
163,18.47
164,15.17
165,19.09
166,12.75
167,12.25
168,11.66
169,11.86
170,24.97
171,19.11
172,12.67
173,18.53
174,12.6
175,15.4
176,20.93
177,14.25
178,15.41
179,18.42
